ylat,xlong,p_area,p_cap_ac
36.0282,-119.4015,28249,1
37.8584,-121.013,13309,1
33.1314,-91.9412,25794,1
36.0058,-94.016,25567,1
35.1458,-93.8739,66078,4
35.1463,-93.8716,47618,4
35.6179,-90.1048,27815,1
35.2659,-91.7159,15484,1
34.7245,-92.1968,121373,1
34.8559,-91.0748,2088180,100
33.1014,-91.9287,2256668,100
35.5091,-93.8348,20590,1
34.7419,-92.1783,106729,5
34.7406,-92.1798,35972,2
36.3921,-91.8788,28094,1
34.5867,-94.1993,22534,1
34.1624,-93.0858,23106,1
33.5178,-94.0258,25328,1
33.9624,-91.8084,28661,1
35.0393,-90.8244,22348,1
40.6674,-103.2057,100495,5
42.0206,-73.3121,28428,2
41.9796,-73.1493,51357,4
41.9645,-72.5633,53175,4
41.9365,-72.5027,29181,2
41.5285,-72.9024,24187,2
41.8809,-72.5475,35816,2
29.8866,-82.7377,1377952,74.5
29.7051,-82.2958,25526,1
29.7044,-82.2935,23960,1
30.3219,-82.1905,1353382,74.5
42.0932,-91.803,1028797,150
41.0646,-94.3252,893153,50
40.732,-91.2669,2663753,150
41.4276,-90.1549,21129,1
42.472,-88.6072,55262,2
42.472,-88.6034,62556,2
40.4377,-88.993,45879,2
38.4896,-89.9524,50914,2
38.1754,-89.8488,97109,2
41.76,-89.8663,46985,2
41.6572,-89.8986,119063,2
40.9226,-90.4002,59188,2
40.924,-90.4049,76567,2
41.536,-88.5664,39403,2
42.3631,-88.4246,127590,2
40.4377,-89.6882,121114,2
37.6745,-98.7812,23773,1
37.1206,-96.2125,22587,1
37.2814,-99.3623,46689,2
37.5778,-99.3206,23903,1
38.0416,-97.2094,22083,1
38.0505,-98.3277,22168,1
38.5668,-97.7254,22248,1
37.7673,-97.5077,23955,1
37.1579,-95.4478,23957,1
39.0393,-96.8697,21892,1
39.1482,-95.3279,22157,1
37.514,-94.9844,23497,1
38.8498,-97.3709,23704,1
39.2339,-96.4556,23751,1
37.5074,-95.7961,23588,1
37.6006,-95.3689,23859,1
42.1769,-72.0001,26149,1
42.1394,-71.9179,39504,2
41.8879,-70.7481,36888,2
42.0871,-73.0094,81888,5
41.5399,-71.074,38714,2.5
41.949,-70.8085,56628,5
39.1528,-77.3115,3542,1
39.3213,-77.0056,58537,2
39.37,-79.4032,35712,2
39.3774,-79.4091,37134,2
