Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,268546,-,-,-,36.45,-114.74,-8,680,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Surface Albedo,Wind Direction,Wind Speed
2021,1,5,20,30,5.7,0,0,0,0.28,10,2.1
2021,1,5,21,30,5,0,0,0,0.28,8,2.2
2021,1,5,22,30,4.3,0,0,0,0.28,3,2.3000000000000003
2021,1,5,23,30,3.8000000000000003,0,0,0,0.28,178,2.3000000000000003
2021,1,6,0,30,3.3000000000000003,0,0,0,0.28,355,2.2
2021,1,6,1,30,3,0,0,0,0.28,354,2.2
2021,1,6,2,30,2.7,0,0,0,0.28,356,2.1
2021,1,6,3,30,2.5,0,0,0,0.28,180,2
2021,1,6,4,30,2.4000000000000004,0,0,0,0.28,4,1.9000000000000001
2021,1,6,5,30,2.3000000000000003,0,0,0,0.28,8,1.9000000000000001
2021,1,6,6,30,3.2,0,0,0,0.28,10,1.9000000000000001
2021,1,6,7,30,6,41,270,69,0.28,10,2.7
2021,1,6,8,30,9.1,129,260,198,0.28,17,3.4000000000000004
2021,1,6,9,30,11.4,185,356,325,0.28,29,3.1
2021,1,6,10,30,13.4,223,331,381,0.28,33,2.9000000000000004
2021,1,6,11,30,14.8,231,378,426,0.28,34,2.6
2021,1,6,12,30,15.600000000000001,264,213,371,0.28,37,2.3000000000000003
2021,1,6,13,30,15.8,140,605,407,0.28,38,2
2021,1,6,14,30,15,73,725,315,0.28,34,1.3
2021,1,6,15,30,12.8,47,604,161,0.28,20,0.9
2021,1,6,16,30,10.700000000000001,13,135,16,0.28,176,1
2021,1,6,17,30,9.4,0,0,0,0.28,338,1.2000000000000002
2021,1,6,18,30,8.4,0,0,0,0.28,336,1.3
2021,1,6,19,30,7.7,0,0,0,0.28,343,1.3
2021,1,6,20,30,7.2,0,0,0,0.28,350,1.3
2021,1,6,21,30,6.7,0,0,0,0.28,355,1.4000000000000001
2021,1,6,22,30,5.9,0,0,0,0.28,354,1.4000000000000001
2021,1,6,23,30,4.9,0,0,0,0.28,352,1.5
2021,1,7,0,30,4.1000000000000005,0,0,0,0.28,348,1.5
2021,1,7,1,30,3.6,0,0,0,0.28,343,1.6
2021,1,7,2,30,3.3000000000000003,0,0,0,0.28,342,1.6
2021,1,7,3,30,3.2,0,0,0,0.28,343,1.5
2021,1,7,4,30,3.3000000000000003,0,0,0,0.28,345,1.5
2021,1,7,5,30,3.1,0,0,0,0.28,345,1.5
2021,1,7,6,30,3.6,0,0,0,0.28,341,1.5
2021,1,7,7,30,6.4,39,357,77,0.28,336,2.3000000000000003
2021,1,7,8,30,9.9,72,643,243,0.28,336,2.9000000000000004
2021,1,7,9,30,12.5,75,842,406,0.28,348,2.6
2021,1,7,10,30,14.600000000000001,112,812,501,0.28,185,2.4000000000000004
2021,1,7,11,30,15.8,250,339,426,0.28,12,2.2
2021,1,7,12,30,16.400000000000002,278,212,385,0.28,12,1.8
2021,1,7,13,30,16.3,243,92,284,0.28,185,1
2021,1,7,14,30,15.100000000000001,184,128,227,0.28,343,0.7000000000000001
2021,1,7,15,30,13.200000000000001,85,26,90,0.28,322,1
2021,1,7,16,30,11.700000000000001,8,0,8,0.28,324,1.2000000000000002
2021,1,7,17,30,10.700000000000001,0,0,0,0.28,339,1.3
2021,1,7,18,30,9.5,0,0,0,0.28,176,1.5
2021,1,7,19,30,8.1,0,0,0,0.28,9,1.7000000000000002
2021,1,7,20,30,6.800000000000001,0,0,0,0.28,10,1.8
2021,1,7,21,30,5.6000000000000005,0,0,0,0.28,183,1.8
2021,1,7,22,30,4.6000000000000005,0,0,0,0.28,356,1.9000000000000001
2021,1,7,23,30,3.8000000000000003,0,0,0,0.28,351,2
2021,1,8,0,30,3.4000000000000004,0,0,0,0.28,348,2.2
2021,1,8,1,30,3.3000000000000003,0,0,0,0.28,350,2.3000000000000003
2021,1,8,2,30,3.5,0,0,0,0.28,354,2.3000000000000003
